"id","name","date_entered","date_modified","modified_user_id","created_by","description","deleted","assigned_user_id","account_type","industry","annual_revenue","phone_fax","billing_address_street","billing_address_city","billing_address_state","billing_address_postalcode","billing_address_country","rating","phone_office","phone_alternate","website","ownership","employees","ticker_symbol","shipping_address_street","shipping_address_city","shipping_address_state","shipping_address_postalcode","shipping_address_country","parent_id","sic_code","campaign_id"
"4c28073c-5cfc-a11a-518f-440c552d08b0", "NETWORD 153 SRL", "0000-00-00 00:00:00", "2009-12-01 15:00:12", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "", "", "", "", "", "Argentina", "", "", "", "http://", "", "", "", "", "", "", "", "Argentina", "", "", ""
"6dc0c637-951c-4f06-83ba-440c550c4ffc", "PATEJIM", "0000-00-00 00:00:00", "0000-00-00 00:00:00", "1", "1", "", "0", "1", "", "", "", "4918-8438", "Crespo 3262", "Capital", "Buenos Aires", "1437", "Argentina", "", "4919-2200  4918-8438", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=671", "", "", "", "", "", "", "", "Argentina", "", "", ""
"7710f339-b14e-703e-19bd-440c5519cb54", "Quadro", "0000-00-00 00:00:00", "2009-12-01 15:02:07", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "", "", "", "", "", "Argentina", "", "", "", "http://", "", "", "", "", "", "", "", "Argentina", "", "", ""
"811193d1-b036-3dab-c834-440c553820c9", "Bago", "0000-00-00 00:00:00", "2009-11-04 13:09:01", "ef631713-5960-d8f7-6613-440381d8aa60", "1", "", "0", "1", "", "", "", "4334-5813", "Bernardo de Irigoyen 248", "Capital", "Buenos Aires", "1072", "Argentina", "", "4344-2000", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=22", "", "", "", "", "", "", "", "Argentina", "", "", ""
"aa604462-cd81-2d6f-394b-440c555fa13b", "Baxter", "0000-00-00 00:00:00", "2011-11-23 18:20:56", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "4711-4129", "Entre Ríos 1632", "Olivos", "Buenos Aires", "1636", "Argentina", "", "4711-4100", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=437", "", "", "", "", "", "", "", "Argentina", "", "", ""
"bc64c676-e16c-e0ed-8fae-440c553e79ea", "Astra Zeneca", "0000-00-00 00:00:00", "2012-02-24 15:26:43", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "", "Nicolás de Vedia 3616  8° Piso", "CABA", "", "C1430DAH", "Argentina", "", "4460-9100", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=19", "", "", "", "Nicolás de Vedia 3616  8° Piso", "CABA", "", "C1430DAH", "Argentina", "", "", ""
"ce2559dd-1f6d-eade-56a8-440c55b96cae", "Merck Serono Argentina", "0000-00-00 00:00:00", "2008-11-25 16:25:31", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "4546-8179", "Tronador 4890 Edif.Panam. Piso 4", "Capital", "Buenos Aires", "1430", "Argentina", "", "4546-8100 (Líneas rotativ", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=186", "", "", "", "", "", "", "", "Argentina", "", "", ""
"d7c90290-1778-6883-7645-440c555d0a53", "MSD", "0000-00-00 00:00:00", "2013-08-27 12:43:42", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "", "Cazadores de Coquimbo 2841/57 4º piso", "Munro - Vicente López", "Buenos Aires", "B1605AZE", "Argentina", "", "6090-7200", "4756-3030/4076 o 3220-435", "http://www.msd.com.ar", "", "", "", "", "", "", "", "Argentina", "", "", ""
"e1dbfcc0-dbcc-0f2c-7615-440c554d7f46", "Raffo", "0000-00-00 00:00:00", "2010-02-09 19:07:17", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "", "Int.C. Amaro Ávalos 2826 Edf.I- p.3", "Munro", "Buenos Aires", "B1605 EBQ", "Argentina", "", "4509-7100", "", "http://www.raffo.com.ar", "", "", "", "", "", "", "", "Argentina", "", "", ""
"ec19197b-4ba1-9155-c3c3-440c55064b98", "Craveri", "0000-00-00 00:00:00", "2012-06-27 20:10:02", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "5167-0505", "Miranda 5237", "Capital Federal", "Buenos Aires", "C1407GGG", "Argentina", "", "5167-0555", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=73", "", "", "", "", "", "", "", "Argentina", "", "", ""
"9c1b08c8-5288-f3f7-6fb8-440c5576a647", "Novartis", "0000-00-00 00:00:00", "2006-03-17 14:19:56", "1", "1", "", "0", "1", "", "", "", "", "Ramallo 1851", "Capital", "Buenos Aires", "1429", "Argentina", "", "4703-7000", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=469", "", "", "", "", "", "", "", "Argentina", "", "", ""
"13c0cf44-68a3-88ab-ccf4-440c55665f4b", "Takeda Company", "0000-00-00 00:00:00", "2013-04-08 15:59:59", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "4546-4707/08", "Tronador 4890 Edif.Panam.Plaza", "CABA", "Buenos Aires", "C1430DDN", "Argentina", "", "4546-4700", "", "http://www.nycomed.com", "", "", "", "", "", "", "", "Argentina", "", "", ""
"2d4a0d42-de57-9621-8b25-440c5539bd4d", "Biol", "0000-00-00 00:00:00", "2007-08-16 20:10:06", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "4953-4946", "J. E. Uriburu 153", "Capital", "Buenos Aires", "1027", "Argentina", "", "4953-7215/17  4953-6596", "", "http://www.biol.com.ar", "", "", "", "", "", "", "", "Argentina", "", "", ""
"36e2cc33-f803-dc2f-3ac5-440c55d86043", "Elea", "0000-00-00 00:00:00", "2006-03-07 19:12:40", "d9bf9be7-0bbf-fb9f-6c43-440384b7ef79", "1", "", "0", "1", "", "", "", "4379-4333", "Sanabria 2353 Piso 1", "Capital", "Buenos Aires", "1417", "Argentina", "", "4379-4300", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=105", "", "", "", "", "", "", "", "Argentina", "", "", ""
"481cc29e-c249-75d1-6111-440c5543faa9", "Grimberg", "0000-00-00 00:00:00", "2007-05-02 19:19:10", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "4773-2318", "Lerma 426", "Capital", "Buenos Aires", "C1414AZJ", "Argentina", "", "4777-2022", "", "http://www.grimbergdentales.com", "", "", "", "", "", "", "", "Argentina", "", "", ""
"62c8a095-8bb8-e5ba-b029-440c55c08450", "Johnson & Johnson", "0000-00-00 00:00:00", "2007-05-09 13:16:03", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "", "", "5288-7746", "Mendoza 1259 Piso 1", "Capital", "Buenos Aires", "C1428DJG", "Argentina", "", "5288-7700", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=158", "", "", "", "", "", "", "", "Argentina", "", "", ""
"6ce37208-cb89-9112-bc39-440c555c4861", "Johnson & Johnson Medical", "0000-00-00 00:00:00", "2006-12-15 14:57:03", "b5aabf8d-e845-576a-e54c-44bbbce72314", "1", "", "0", "1", "", "", "", "4708-6643", "Monseñor Magliano 3061", "San Isidro", "Buenos Aires", "1642", "Argentina", "", "4708-6600", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=613", "", "", "", "", "", "", "", "Argentina", "", "", ""
"8f9a6409-3647-42d4-c450-440c556c1485", "Sidus", "0000-00-00 00:00:00", "2013-05-21 13:33:48", "2a8ae252-4ca4-9c60-4d29-460910f94fa1", "1", "", "0", "1", "", "Healthcare", "", "4796-6860", "Dardo Rocha 944", "Martinez", "Buenos Aires", "1640", "Argentina", "", "4796-6800", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=274", "", "", "", "", "", "", "", "Argentina", "", "", ""
"a0da946d-36b6-bedf-c951-440c5509a807", "Casasco", "0000-00-00 00:00:00", "2006-03-06 20:33:59", "d9bf9be7-0bbf-fb9f-6c43-440384b7ef79", "1", "", "0", "1", "", "", "", "4633-2097", "Carabobo 22", "Capital", "Buenos Aires", "1406", "Argentina", "", "4633-3838  4632-5092", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=56", "", "", "", "", "", "", "", "Argentina", "", "", ""
"ab63ddcc-9f97-2a71-34df-440c553055b4", "Gador", "0000-00-00 00:00:00", "2007-04-30 14:27:17", "840683b2-45d6-2711-c928-441732978d5c", "1", "", "0", "1", "", "", "", "4856-0628", "Darwin 429", "Capital", "Buenos Aires", "1414", "Argentina", "", "4858-9000", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=129", "", "", "", "", "", "", "", "Argentina", "", "", ""
"bcbe2dea-a2b0-1a18-7991-440c55e5632e", "Pfizer", "0000-00-00 00:00:00", "2008-10-15 16:20:36", "7f6e07c4-9927-7bf0-2e0b-44cfa69d6a30", "1", "", "0", "1", "", "", "", "", "Virrey Loreto 2477", "Capital", "Buenos Aires", "C1426DXS", "Argentina", "", "4788-7000", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=221", "", "", "", "", "", "", "", "Argentina", "", "", ""
"c723c442-b6fc-a3fa-0b83-440c557dc782", "Roemmers", "0000-00-00 00:00:00", "2006-12-12 13:15:28", "b5aabf8d-e845-576a-e54c-44bbbce72314", "1", "", "0", "1", "", "", "", "", "Fray Justo Sarmiento 2350", "Olivos", "Buenos Aires", "1636", "Argentina", "", "4346-9700", "", "http://www.prvademecum.com/PRData/NEWLaboratorio.asp?L=251", "", "", "", "", "", "", "", "Argentina", "", "", ""
